LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 20 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~15% improvement in cTNT Exon 5 inclusion,Ligand = 5 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,DM1 HSALR mouse model (Clcn1),~71% Clcn1 exon 7a exclusion (increased from ~50%),Intraperitoneal; 100 mg/kg once a day for 7 days,RNA Splicing,RT-PCR,-,Compared to wild-type,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,C,Pronase,Intermediate pronase stability at pH = 7.8 and pH = 9.0,Ligand = 400 µM,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~140% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H4. Enhancement of Luciferase activity is relative to untreated cells. ",,DM1 HSALR mouse model (Serca1),21.5% Serca1 exon 21 inclusion (increased from ~11.8%),Intraperitoneal; 100 mg/kg once a day for 7 days,RNA Splicing,RT-PCR,-,Compared to wild-type,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,,r(CUG)12,Koff (1) = 2.43x10^-3 s-1; Koff (2) = 5.00x10^-2; Kon (1) = 2.61 x 10^5 M-s-1; Kon (2) = 1.87 x 10^3 M-s-1; Kobs (1) = 1.31 x 10^-08 M,Ligand = NR; RNA = 540 nM,1 X Kinetics Buffer (ForteBio),Binding,Surface Plasmon Resonance,Binding model two fits one analyte in solution binding to one binding site on the surface. Binding model one fits the binding of one analyte in solution to two different binding sites on the surface.,Compared to MBNL binding,C,C2C12 Cells,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",C,DM1 HSALR mouse model,No change in ITGB1 alternative splicing,Intraperitoneal; 100 mg/kg once a day for 7 days,RNA Splicing,RT-PCR,Not regulated by MBNL1,Compared to wild-type,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,C,r(CAG)12,Koff (1) = 6.95 x 10^-2 s-1; Koff (2) = 8.47 x 10^-2; Kon (1) = 8.38 x 10^4 M-s-1; Kon (2) = 1.63 x 10^3 M-s-1; Kobs (1) = 8.29 x 10^-7 M,Ligand = NR; RNA = 540 nM,1 X Kinetics Buffer (ForteBio),Off-Target Effect,Surface Plasmon Resonance,Binding model two fits one analyte in solution binding to one binding site on the surface. Binding model one fits the binding of one analyte in solution to two different binding sites on the surface.,Compared to MBNL binding,C,C2C12 Cells,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",C,DM1 HSALR mouse model,No change in CAPzb alternative splicing,Intraperitoneal; 100 mg/kg once a day for 7 days,RNA Splicing,RT-PCR,Not regulated by MBNL1,Compared to wild-type,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,C,r(AU)12,Koff (1) = 1.65 x 10^-2 s-1; Koff (2) = 3.59 x 10^-1; Kon (1) = 4.14 x 10^4 M-s-1; Kon (2) = 1.98 x 10^4 M-s-1; Kobs (1) = 4.00 x 10^-7 M,Ligand = NR; RNA = 540 nM,1 X Kinetics Buffer (ForteBio),Off-Target Effect,Surface Plasmon Resonance,Binding model two fits one analyte in solution binding to one binding site on the surface. Binding model one fits the binding of one analyte in solution to two different binding sites on the surface.,Compared to MBNL binding,C,C2C12 Cells,No effect on PLEKHH2 splicing,Ligand = 10 µM,RNA Splicing,RT-PCR,-,Compared to untreated cells and parent compound,,,,,,,,,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,C,r(CG)8,Koff (1) = 8.22 x 10^-2 s-1; Koff (2) = 1.05 x 10^-1; Kon (1) = 5.84 x 10^4 M-s-1; Kon (2) = 2.48 x 10^4 M-s-1; Kobs (1) = 1.40 x 10^-6 M,Ligand = NR; RNA = 540 nM,1 X Kinetics Buffer (ForteBio),Off-Target Effect,Surface Plasmon Resonance,Binding model two fits one analyte in solution binding to one binding site on the surface. Binding model one fits the binding of one analyte in solution to two different binding sites on the surface.,Compared to MBNL binding,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0014,R-BIND (MV) 0019,C[C@@H](N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O,2H-K4NMe,10.1021/cb400265y,,Total RNA,r(CUG)exp is highly enriched in pulldown fraction,Ligand = 50 nmoles,-,On-Target Effect,Northern Blot,"Total RNA from a DM1 model cellular system was applied to the affinity matrix with streptavidin displaying biotinylated ligand. The resin was washed to remove unbound biomolecules, and the cellular targets were harvested and separated by gel electrophoresis.",Compared to 5'-biotin-d(CAG)exp,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,r(CUG)12-MBNL1 complex,IC50 = ~ 1-2 µM,Ligand = NR; RNA = 80 nM; Protein = 60 nM,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,The compounds were incubated with the RNA for 4 h at room temperature followed by addition of the protein.,-,,DM1-patient derived cells (GM03987),Improved MBNL1 exon 5 pre-mRNA splicing defect,"Ligand = 1, 10, 100 nM",RNA Splicing,Northern Blot and RT-PCR,-,"Compared to no compound, Non-DM1 cells, and to morpholino oligonucleotide",,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,r(CUG)12,Kd = 13.2 ± 1.1 x 10^-9 M; Hill coefficient = 1.5 ± 0.2; ~3 ligands/RNA,Ligand = 4 µM,"8 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Binding,Fluorescence-Based Titration (Intrinsic),-,-,,DM1-patient derived cells (GM03987),Improved splicing of CAMK2G exon 14,"Ligand = 1, 10, 100 nM",RNA Splicing,Northern Blot and RT-PCR,MBNL1-controlled gene,"Compared to no compound, Non-DM1 cells, and to morpholino oligonucleotide",,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,r(CUG)109,Kd = 12.4 ± 1.4 x 10^-9 M; Hill coefficient = 1.03 ± 0.10; ~23 ligands/RNA,Ligand = 4 µM,"9 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Binding,Fluorescence-Based Titration (Intrinsic),-,-,,DM1-patient derived cells (GM03987),Improved splicing of NCOR2 exon 45a,"Ligand = 1, 10, 100 nM",RNA Splicing,Northern Blot and RT-PCR,MBNL1-controlled gene,"Compared to no compound, Non-DM1 cells, and to morpholino oligonucleotide",,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,C,r(GC20),No saturable binding observed,Ligand = 4 µM,"10 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,DM1-patient derived cells (GM03987),Modest effect on NFIX exon 7,"Ligand = 1, 10, 100 nM",RNA Splicing,Northern Blot and RT-PCR,MBNL1-controlled gene,"Compared to no compound, Non-DM1 cells, and to morpholino oligonucleotide",,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,C,tRNA,No saturable binding observed,Ligand = 4 µM,"11 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,C,DM1-patient derived cells (GM03987),No effect on Exon 22a inclusion in MAP4K4,"Ligand = 1, 10, 100 nM",RNA Splicing,Northern Blot and RT-PCR,Not MBNL1-controlled,-,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,C,cTNT,No saturable binding observed,Ligand = 4 µM,"12 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,DM1-patient derived cells (GM03987),Reduced the number of nuclear foci by ~50% ,Ligand = 1 µM,Nuclear Foci Dispersion,Fluorescence In Situ Hybridization,Cells were treated with the compound of interest for 48 h in growth medium. Immunostaining of MBNL1 was done.,Compared to no compound,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,C,AT-rich DNA hairpin,No saturable binding observed,Ligand = 4 µM,"13 mM Na2HPO4 (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,C2C12 Cells ,Increased luciferase activity,-,Localization,Reporter,"Embedded r(CUG)800 in the 3? UTR of the firefly luciferase gene. The presence of r(CUG)800prevents trafficking of luciferase mRNA to the cytoplasm and reduces its translation, as measured by enzymatic activity.",Compared to no compound,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,C,C2C12 Cells ,No effect on luciferase mRNA levels,-,Translational Activity,qPCR,-,Compared to no compound,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,,DM1-patient derived cells (GM03987),"~13,000-fold enrichment of DMPK mRNA",Ligand = 100 nM,On-Target Effect,Chem-CLIP,Ligand is appended with a nucleic acid reactive module that allows small molecules to be conjugated to their cellular RNA targets and a biotin module that allows for isolation of biotinylated products,"Tested appended ligand for binding to target in vitro, had controls in which the RNA-binding modules are removed for experiment. No enrichment in non-DM1-affected cells",,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,,DM1-patient derived cells (GM03987),Effectively competed with appended ligand for binding to DMPK mRNAl Ki = 2.9 nM,"Ligand = 100 nM; Competitor = 1, 10, 100, 1000, 10000 nM",On-Target Effect,Competitive Chem-CLIP,Cells are cotreated with the Chem-CLIP probe and the unreactive parent compound; targets that are bound selectively by the parent compound are depleted by the pull-down; accounts for no-selective effects due to cross-linking and purification modules,-,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,,DM1-patient derived cells (GM03987),Enrichment only observed for fragments containing r(CUG)exp,Ligand = 100 nM,On-Target Effect,Chem-CLIP,"Total RNA isolated from DM1-patient-derived cells treated with was annealed with antisense oligonucleotides targeting specific portions of DMPK mRNA. After cleavage with RNase H, the mRNA was digested into fragments with and without r(CUG)exp. Regions of DMPK mRNA bound by the compound were captured and quantified by reverse transcription-quantitative polymerase chain reaction (RT-qPCR) using specific primers for each fragment of the mRNA.",-,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,C,DM1-patient derived cells (GM03987),No RNAs were enriched within two orders of magnitude of the enrichment observed with DMPK,Ligand = 100 nM,On-Target Effect,RT-qPCR,-,Compared to no compound. Allele-selective RT-qPCR revealed significant enrichment in the mutant expanded DMPK allele .,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,,DM1-patient derived cells (GM03987),Even distribution in nucleus and cytoplasm,NR,Localization,Confocal Microscopy,Cells were treated for 48 h,Compared to nuclear and cytoplasmic markers,,,,,,,,,,,,,,,
R-BIND (LM) 0015,R-BIND (MV) 0020,C[C@H](N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(=O)N(CCCCN(C)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)CC(N)=O,2H-K4NMeS,10.1038/nchembio.2251,,,,,,,,,,,DM1-patient derived cells (GM03987),Compound is stable,Ligand = 5 µM,Ligand stability,MALDI TOF/TOF,Cells were treated for 48 h,Compared to parent compound,,,,,,,,,,,,,,,
R-BIND (LM) 0016,R-BIND (MV) 0021,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4NPr,10.1021/cb400265y,,r(CUG)12-MBNL1 complex,IC50 = ~ 30 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Corrected for background noise,,HeLa Cells (DM1),~10% improvement in cTNT Exon 5 inclusion,Ligand = 10 µM,RNA Splicing,RT-PCR,"Cells were treated post-transfection in growth medium. In the absence of r(CUG)exp, the exon 5 inclusion rate is ?45%, whereas in the presence of r(CUG) exp, the exon 5 inclusion rate is ?85% ","Compared to untreated cells, and cells lacking r(CUG)exp",,,,,,,,,,,,,,,
R-BIND (LM) 0016,R-BIND (MV) 0021,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4NPr,10.1021/cb400265y,C,Pronase,Intermediate pronase stability at pH = 7.8 and pH = 9.0,Ligand = 400 µM; Protein = 1 U,50 mM Tris-HCl (pH = 7.8 or 9.0) and 10 mM CaCl2,Activity,Pronase Activity,Incubated for 18 h. Products were analyzed by HPLC,-,,C2C12 Cells,~150% enhancement of luciferase activity,Ligand = 10 µM,Translational Activity,Reporter,Cells expressing 800 or 0 CTG repeats in the 3' UTR of luciferase were used. Cells were then treated with compound and monitored for luciferase activity.,"Compared to parent compound, 2H4. Enhancement of Luciferase activity is relative to untreated cells. ",,,,,,,,,,,,,,,
R-BIND (LM) 0016,R-BIND (MV) 0021,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4NPr,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells,Compound is cell-permeable,"Ligand = 1, 10 µM",Cell Uptake,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",,,,,,,,,,,,,,,
R-BIND (LM) 0016,R-BIND (MV) 0021,CCCN([C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N(CCC)[C@H](C)C(=O)N[C@H](CCCCNC(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1)C(N)=O)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,2H-K4NPr,10.1021/cb400265y,,,,,,,,,,C,C2C12 Cells ,No effect on toxicity,"Ligand = 1, 10 µM",Cytotoxicity,Flow Cytometry,-,"Compared to parent compound, 2H4. Hoechst 33258 used as positive control for gating. ",,,,,,,,,,,,,,,
